kendallBlockWorkersValid1,kendallBlockWorkersValid2,kendallBlockWorkersValid3
a250092033012,1,<$30000
250092033021,1,>$200000
250092041012,1,<$30000
250092042003,1,$60000 - $99999
250092043001,1,<$30000
250092044002,1,$60000 - $99999
250092046004,1,$60000 - $99999
250092047022,1,$60000 - $99999
250092047023,1,<$30000
250092051002,1,$60000 - $99999
250092052003,1,$60000 - $99999
250092054001,1,$60000 - $99999
250092059003,1,$60000 - $99999
250092062002,1,<$30000
250092063001,1,$60000 - $99999
250092063002,1,$60000 - $99999
250092065002,1,$60000 - $99999
250092067003,1,<$30000
250092071001,1,<$30000
250092082003,1,<$30000
250092084001,1,$60000 - $99999
250092084002,1,$60000 - $99999
250092084003,1,$60000 - $99999
250092091001,1,$60000 - $99999
250092091005,1,$150000 - $199999
250092092002,1,>$200000
250092104001,1,<$30000
250092104003,1,$60000 - $99999
250092104004,1,$100000 - $124999
250092113003,2,$60000 - $99999
250092114011,1,$60000 - $99999
250092114023,2,$60000 - $99999
250092121002,1,>$200000
250092121004,1,$60000 - $99999
250092131005,1,>$200000
250092174003,1,<$30000
250092175003,1,$150000 - $199999
250092176003,2,>$200000
250092506004,1,$60000 - $99999
250092515003,1,<$30000
250092521023,2,$150000 - $199999
250092522011,1,$60000 - $99999
250092525023,1,$60000 - $99999
250092526021,1,<$30000
250092531001,1,<$30000
250092531003,1,$150000 - $199999
250092532011,1,<$30000
250092532022,1,$100000 - $124999
250092532042,1,>$200000
250092544011,1,>$200000
250092601003,2,<$30000
250092604022,2,$150000 - $199999
250092606002,1,<$30000
250092610001,1,<$30000
250092610002,1,$60000 - $99999
250092611022,2,$60000 - $99999
250092641003,1,$60000 - $99999
250092651011,1,<$30000
250092651014,1,$150000 - $199999
250092671011,1,$60000 - $99999
250092671013,1,$60000 - $99999
250092683001,1,<$30000
250092691004,1,$60000 - $99999
250092701002,1,>$200000
250173103003,1,<$30000
250173114003,1,<$30000
250173115002,1,<$30000
250173116002,1,$60000 - $99999
250173119002,1,<$30000
250173123003,1,$60000 - $99999
250173141022,1,<$30000
250173142001,2,<$30000
250173142003,1,$60000 - $99999
250173151002,1,$60000 - $99999
250173152004,2,$60000 - $99999
250173155002,2,$60000 - $99999
250173155005,1,<$30000
250173161011,1,>$200000
250173161012,1,$60000 - $99999
250173162021,3,$100000 - $124999
250173163004,1,$60000 - $99999
250173163005,1,>$200000
250173164002,1,$60000 - $99999
250173171021,1,>$200000
250173171032,1,>$200000
250173173022,1,<$30000
250173181001,1,$150000 - $199999
250173183002,1,$150000 - $199999
250173184001,1,>$200000
250173184002,1,>$200000
250173211001,1,<$30000
250173213002,1,$60000 - $99999
250173216001,1,$60000 - $99999
250173216003,1,$60000 - $99999
250173241011,1,>$200000
250173241012,1,$150000 - $199999
250173251007,1,$60000 - $99999
250173301002,2,>$200000
250173301005,1,>$200000
250173302002,1,$60000 - $99999
250173302003,1,$60000 - $99999
250173302004,2,$60000 - $99999
250173311012,2,$125000 - $149999
250173311023,1,$60000 - $99999
250173312002,1,$60000 - $99999
250173313001,1,$60000 - $99999
250173322001,3,$60000 - $99999
250173322004,1,$125000 - $149999
250173323002,2,$150000 - $199999
250173323003,1,$60000 - $99999
250173323004,1,$60000 - $99999
250173331004,1,$60000 - $99999
250173334001,1,$60000 - $99999
250173335012,1,$60000 - $99999
250173335022,2,$60000 - $99999
250173336005,2,$60000 - $99999
250173336006,1,<$30000
250173341002,2,>$200000
250173341003,1,$60000 - $99999
250173342003,1,<$30000
250173343003,1,>$200000
250173343004,1,>$200000
250173344005,1,$60000 - $99999
250173352005,2,>$200000
250173353021,1,$60000 - $99999
250173353022,1,$60000 - $99999
250173354001,1,$60000 - $99999
250173354003,1,$60000 - $99999
250173361002,1,<$30000
250173362006,1,$100000 - $124999
250173363002,3,>$200000
250173363003,1,$150000 - $199999
250173364012,2,$150000 - $199999
250173364013,1,$60000 - $99999
250173371012,1,<$30000
250173371022,2,>$200000
250173371023,1,$60000 - $99999
250173372012,1,$60000 - $99999
250173372021,1,>$200000
250173372022,1,$60000 - $99999
250173373003,2,$60000 - $99999
250173373004,2,$60000 - $99999
250173382001,2,$60000 - $99999
250173382002,1,>$200000
250173391001,1,$150000 - $199999
250173391004,1,<$30000
250173392004,2,$60000 - $99999
250173392005,1,$150000 - $199999
250173393001,1,<$30000
250173393003,2,$60000 - $99999
250173396003,2,$60000 - $99999
250173396006,1,$45000 - $59999
250173397002,3,<$30000
250173397004,1,<$30000
250173398011,1,$60000 - $99999
250173398012,1,<$30000
250173398022,1,<$30000
250173399001,1,<$30000
250173399004,2,$60000 - $99999
250173400002,1,$100000 - $124999
250173401002,3,$60000 - $99999
250173401004,1,<$30000
250173411013,1,$60000 - $99999
250173412001,2,$60000 - $99999
250173412003,3,<$30000
250173412005,2,<$30000
250173413001,1,$60000 - $99999
250173414002,1,$60000 - $99999
250173414004,1,$60000 - $99999
250173415001,1,$30000 - $44999
250173415002,1,$30000 - $44999
250173415005,1,<$30000
250173416004,1,$30000 - $44999
250173417001,1,$60000 - $99999
250173417002,1,$60000 - $99999
250173418001,1,$30000 - $44999
250173418003,1,$60000 - $99999
250173418006,1,<$30000
250173419011,1,$60000 - $99999
250173419012,1,$60000 - $99999
250173419022,1,<$30000
250173419026,3,$60000 - $99999
250173421024,1,<$30000
250173423003,3,<$30000
250173424002,1,$60000 - $99999
250173425001,1,$60000 - $99999
250173425002,1,$60000 - $99999
250173425003,1,<$30000
250173426003,2,$60000 - $99999
250173501031,2,$60000 - $99999
250173501032,1,<$30000
250173501041,5,<$30000
250173501042,2,<$30000
250173501043,2,$60000 - $99999
250173501044,2,<$30000
250173502001,2,$100000 - $124999
250173502004,1,$100000 - $124999
250173502005,1,$60000 - $99999
250173502006,3,$60000 - $99999
250173504001,1,$150000 - $199999
250173504002,1,$100000 - $124999
250173504003,1,$60000 - $99999
250173505001,1,$60000 - $99999
250173505002,1,$125000 - $149999
250173507001,1,<$30000
250173507002,1,<$30000
250173507006,1,$60000 - $99999
250173508001,1,$125000 - $149999
250173509001,2,$60000 - $99999
250173509003,1,>$200000
250173510001,3,$60000 - $99999
250173510003,1,>$200000
250173510004,3,$60000 - $99999
250173510005,1,$150000 - $199999
250173511001,1,$125000 - $149999
250173511003,1,$100000 - $124999
250173511004,1,$60000 - $99999
250173511005,1,$60000 - $99999
250173512031,1,$60000 - $99999
250173512033,2,$60000 - $99999
250173512034,1,$60000 - $99999
250173512041,1,<$30000
250173512042,4,$60000 - $99999
250173512043,1,$60000 - $99999
250173513001,2,$100000 - $124999
250173513002,1,<$30000
250173513003,1,$100000 - $124999
250173514032,1,$45000 - $59999
250173514034,1,$60000 - $99999
250173514042,3,<$30000
250173514044,2,<$30000
250173515001,1,<$30000
250173515002,3,$60000 - $99999
250173521011,4,$150000 - $199999
250173521012,7,<$30000
250173521021,16,>$200000
250173521022,7,$60000 - $99999
250173522001,7,<$30000
250173523001,9,<$30000
250173523002,13,>$200000
250173524001,5,>$200000
250173524002,15,<$30000
250173525001,7,<$30000
250173525002,6,$60000 - $99999
250173526001,4,$60000 - $99999
250173526002,2,<$30000
250173527001,3,$60000 - $99999
250173527002,2,<$30000
250173527003,2,>$200000
250173528002,5,$60000 - $99999
250173529002,1,>$200000
250173530003,4,<$30000
250173530004,2,<$30000
250173531011,3,<$30000
250173531012,6,$60000 - $99999
250173531021,10,$125000 - $149999
250173531022,20,$100000 - $124999
250173531023,1,<$30000
250173532001,15,>$200000
250173532002,4,<$30000
250173533002,1,$60000 - $99999
250173533003,2,$60000 - $99999
250173534001,2,$30000 - $44999
250173535001,1,<$30000
250173535002,2,$60000 - $99999
250173537001,2,$60000 - $99999
250173538002,2,<$30000
250173538003,1,$60000 - $99999
250173538004,2,$60000 - $99999
250173539001,1,<$30000
250173539002,1,<$30000
250173541003,1,$60000 - $99999
250173542001,1,>$200000
250173542002,1,>$200000
250173542003,2,>$200000
250173543001,2,<$30000
250173543002,1,$60000 - $99999
250173544001,2,>$200000
250173544002,1,>$200000
250173545003,1,$60000 - $99999
250173546004,1,$60000 - $99999
250173547001,2,>$200000
250173547002,1,$60000 - $99999
250173549001,1,$30000 - $44999
250173549002,2,<$30000
250173549003,5,$150000 - $199999
250173550003,2,$60000 - $99999
250173561001,1,$60000 - $99999
250173564001,1,>$200000
250173564005,1,>$200000
250173564006,1,>$200000
250173564007,3,$100000 - $124999
250173565005,1,$60000 - $99999
250173565006,1,$125000 - $149999
250173566011,2,$60000 - $99999
250173566012,1,>$200000
250173566024,1,>$200000
250173567011,1,$60000 - $99999
250173567015,1,$60000 - $99999
250173567021,1,$150000 - $199999
250173571002,2,$60000 - $99999
250173572001,1,>$200000
250173573002,2,$60000 - $99999
250173574002,1,>$200000
250173576002,1,$60000 - $99999
250173578003,1,>$200000
250173581001,1,>$200000
250173581002,4,>$200000
250173581003,1,>$200000
250173581004,1,$150000 - $199999
250173583001,1,>$200000
250173583002,2,>$200000
250173584002,1,<$30000
250173585002,1,>$200000
250173587002,1,>$200000
250173587003,2,>$200000
250173591001,1,>$200000
250173591004,1,>$200000
250173602004,1,>$200000
250173612003,2,>$200000
250173613001,1,>$200000
250173631023,2,<$30000
250173631031,1,>$200000
250173641013,1,$60000 - $99999
250173641021,1,<$30000
250173641024,1,$60000 - $99999
250173651002,1,>$200000
250173661004,1,>$200000
250173661005,1,>$200000
250173671001,1,>$200000
250173681012,1,<$30000
250173683003,1,$60000 - $99999
250173684002,1,$150000 - $199999
250173685001,1,<$30000
250173686003,1,<$30000
250173687002,1,$60000 - $99999
250173688001,1,<$30000
250173688004,1,$60000 - $99999
250173689011,1,$150000 - $199999
250173689013,1,<$30000
250173689014,1,>$200000
250173691001,1,$60000 - $99999
250173691004,1,$60000 - $99999
250173691005,1,$150000 - $199999
250173701011,1,$60000 - $99999
250173701022,1,<$30000
250173702011,1,$150000 - $199999
250173702012,1,$60000 - $99999
250173703002,1,$60000 - $99999
250173704003,2,$60000 - $99999
250173732004,1,$60000 - $99999
250173735003,1,>$200000
250173737003,2,>$200000
250173737004,1,>$200000
250173738001,1,>$200000
250173739001,2,>$200000
250173739003,1,>$200000
250173740001,2,>$200000
250173741001,1,>$200000
250173741003,1,$60000 - $99999
250173742001,1,>$200000
250173743001,1,>$200000
250173746001,1,>$200000
250173746002,1,>$200000
250173821001,1,$60000 - $99999
250173823002,1,>$200000
250173825003,1,>$200000
250173826024,1,<$30000
250173832001,1,$60000 - $99999
250173834002,1,<$30000
250173835021,1,$60000 - $99999
250173836003,1,<$30000
250173839014,2,$100000 - $124999
250173840021,1,<$30000
250173840023,1,$60000 - $99999
250173851001,1,$60000 - $99999
250173852011,1,<$30000
250173852022,1,>$200000
250173852023,1,>$200000
250173881001,2,>$200000
250214001001,1,<$30000
250214001002,1,$60000 - $99999
250214001004,1,>$200000
250214002002,1,$60000 - $99999
250214003003,1,>$200000
250214004001,1,<$30000
250214005001,1,$150000 - $199999
250214005002,1,$60000 - $99999
250214005003,1,>$200000
250214007003,1,>$200000
250214008002,1,$125000 - $149999
250214009003,2,>$200000
250214010002,1,>$200000
250214010003,1,<$30000
250214012004,2,>$200000
250214024003,1,$150000 - $199999
250214031006,1,>$200000
250214043022,1,>$200000
250214061023,1,>$200000
250214061024,1,>$200000
250214071002,1,$100000 - $124999
250214101001,1,$60000 - $99999
250214104003,1,$150000 - $199999
250214113023,1,<$30000
250214121003,1,$150000 - $199999
250214122002,1,>$200000
250214123004,1,>$200000
250214131004,1,$60000 - $99999
250214134022,1,$60000 - $99999
250214142003,1,>$200000
250214143002,2,$150000 - $199999
250214151021,1,$60000 - $99999
250214151022,1,$30000 - $44999
250214153001,1,>$200000
250214162007,1,$60000 - $99999
250214163003,1,$150000 - $199999
250214171005,1,$60000 - $99999
250214172001,3,$60000 - $99999
250214172002,1,<$30000
250214172005,2,$100000 - $124999
250214173002,1,>$200000
250214175013,1,$60000 - $99999
250214175023,1,$100000 - $124999
250214176012,1,$60000 - $99999
250214178022,1,<$30000
250214179011,1,<$30000
250214179014,1,<$30000
250214179021,1,<$30000
250214180031,4,$60000 - $99999
250214180042,1,$60000 - $99999
250214180043,1,<$30000
250214191001,1,$60000 - $99999
250214191004,1,$60000 - $99999
250214193002,1,$60000 - $99999
250214194001,1,$60000 - $99999
250214195002,1,$150000 - $199999
250214196002,1,$60000 - $99999
250214197001,1,$60000 - $99999
250214198002,2,<$30000
250214201002,1,$60000 - $99999
250214201003,1,$60000 - $99999
250214201004,4,$60000 - $99999
250214202022,1,<$30000
250214203014,1,>$200000
250214211001,1,<$30000
250214211003,1,$60000 - $99999
250214212002,1,$60000 - $99999
250214221001,1,$60000 - $99999
250214221004,1,<$30000
250214222001,1,>$200000
250214222002,1,$100000 - $124999
250214222004,1,$60000 - $99999
250214222006,1,<$30000
250214223023,2,$60000 - $99999
250214223024,1,$60000 - $99999
250214224003,1,$60000 - $99999
250214224005,3,<$30000
250214225022,1,<$30000
250214225024,1,<$30000
250214226003,1,<$30000
250214412031,1,$60000 - $99999
250214421012,1,$60000 - $99999
250214431022,1,$60000 - $99999
250214562002,1,$60000 - $99999
250214563011,1,<$30000
250214563024,1,<$30000
250214572002,1,>$200000
250214572003,1,>$200000
250235011023,2,>$200000
250235031025,1,$100000 - $124999
250235041013,1,>$200000
250235051013,1,>$200000
250235051023,1,>$200000
250235062041,1,$60000 - $99999
250235071011,1,>$200000
250235071031,1,$150000 - $199999
250235081013,1,$30000 - $44999
250235081022,1,$60000 - $99999
250235082003,1,$60000 - $99999
250235091011,1,$150000 - $199999
250235101003,1,$100000 - $124999
250235104004,1,<$30000
250235105011,1,$60000 - $99999
250235105012,1,$60000 - $99999
250235111003,1,$60000 - $99999
250235112002,1,$60000 - $99999
250235116006,1,$60000 - $99999
250235201001,1,$60000 - $99999
250235201003,1,$100000 - $124999
250235202013,1,$100000 - $124999
250235202022,1,$60000 - $99999
250235202023,1,$100000 - $124999
250235211021,1,$60000 - $99999
250235221011,1,$150000 - $199999
250235221021,1,$150000 - $199999
250235221022,1,>$200000
250235231001,1,$60000 - $99999
250235232013,1,$150000 - $199999
250235232022,1,$30000 - $44999
250235261001,1,$60000 - $99999
250235261004,1,<$30000
250235306003,1,$150000 - $199999
250235308012,1,$60000 - $99999
250235454004,1,$100000 - $124999
250250001001,2,<$30000
250250001002,2,$60000 - $99999
250250001003,1,$150000 - $199999
250250002022,1,$60000 - $99999
250250003012,2,$150000 - $199999
250250003014,1,<$30000
250250003021,2,$100000 - $124999
250250004011,3,$100000 - $124999
250250004023,2,$60000 - $99999
250250005021,1,$60000 - $99999
250250005023,2,<$30000
250250005032,1,$60000 - $99999
250250005042,2,<$30000
250250006011,1,$125000 - $149999
250250006014,1,$45000 - $59999
250250006021,1,<$30000
250250007014,1,$60000 - $99999
250250007015,1,<$30000
250250008024,2,<$30000
250250008025,1,<$30000
250250101043,1,<$30000
250250102031,1,<$30000
250250102042,2,<$30000
250250104031,1,<$30000
250250104032,1,<$30000
250250104041,1,<$30000
250250104042,1,<$30000
250250104081,2,$60000 - $99999
250250105003,1,<$30000
250250106002,1,<$30000
250250108012,1,>$200000
250250108021,1,>$200000
250250108022,1,>$200000
250250201014,1,>$200000
250250202002,2,$60000 - $99999
250250202003,3,$60000 - $99999
250250203011,1,<$30000
250250203021,1,$60000 - $99999
250250203032,1,>$200000
250250301002,2,$150000 - $199999
250250303001,1,>$200000
250250303003,1,$100000 - $124999
250250303004,1,>$200000
250250401002,2,$150000 - $199999
250250403003,1,>$200000
250250403005,1,$60000 - $99999
250250406001,4,$125000 - $149999
250250408011,1,<$30000
250250501011,3,$60000 - $99999
250250501012,1,<$30000
250250502001,1,<$30000
250250502002,1,<$30000
250250502003,1,$45000 - $59999
250250503001,2,<$30000
250250504002,1,<$30000
250250506002,1,$100000 - $124999
250250507003,1,<$30000
250250510001,1,<$30000
250250512001,1,$150000 - $199999
250250512002,2,<$30000
250250512003,1,$60000 - $99999
250250601013,2,$60000 - $99999
250250604001,1,$60000 - $99999
250250605011,1,$150000 - $199999
250250605012,1,$60000 - $99999
250250605013,1,$60000 - $99999
250250606001,3,>$200000
250250608004,1,$125000 - $149999
250250611012,1,<$30000
250250612002,1,<$30000
250250701018,1,>$200000
250250702001,1,<$30000
250250705003,1,<$30000
250250709002,1,<$30000
250250712011,1,>$200000
250250801001,1,<$30000
250250804012,1,<$30000
250250808011,1,<$30000
250250809002,1,$60000 - $99999
250250810011,1,<$30000
250250810013,1,$60000 - $99999
250250811002,1,<$30000
250250811003,1,$60000 - $99999
250250813002,2,<$30000
250250817003,1,$60000 - $99999
250250817005,1,$60000 - $99999
250250818003,1,<$30000
250250819003,1,<$30000
250250820001,1,<$30000
250250820003,1,<$30000
250250821002,1,<$30000
250250902003,1,<$30000
250250904002,1,<$30000
250250906001,1,<$30000
250250907001,1,<$30000
250250909012,1,<$30000
250250910014,2,$60000 - $99999
250250911003,1,$60000 - $99999
250250914002,1,$60000 - $99999
250250916001,1,$60000 - $99999
250250917001,1,<$30000
250250918001,1,<$30000
250250919002,1,<$30000
250250921015,1,<$30000
250250922002,1,$100000 - $124999
250250922004,1,<$30000
250251001002,1,$30000 - $44999
250251001004,1,$45000 - $59999
250251001007,1,<$30000
250251002002,1,<$30000
250251002003,1,<$30000
250251003003,2,$60000 - $99999
250251003004,1,<$30000
250251006013,1,$60000 - $99999
250251006031,1,$60000 - $99999
250251007004,1,$60000 - $99999
250251008006,2,$60000 - $99999
250251010011,1,$60000 - $99999
250251010012,1,$30000 - $44999
250251010022,1,<$30000
250251011022,1,<$30000
250251101032,1,<$30000
250251103012,1,$60000 - $99999
250251104012,1,<$30000
250251105021,1,$60000 - $99999
250251201042,1,<$30000
250251202012,1,<$30000
250251203013,2,$60000 - $99999
250251203014,1,$60000 - $99999
250251204003,1,$60000 - $99999
250251206002,1,$60000 - $99999
250251301002,1,$60000 - $99999
250251302002,1,<$30000
250251303004,1,$60000 - $99999
250251304023,2,$60000 - $99999
250251304025,1,>$200000
250251304062,1,<$30000
250251401051,1,$60000 - $99999
250251401071,2,$60000 - $99999
250251402022,1,<$30000
250251403006,1,$60000 - $99999
250251404005,1,$100000 - $124999
250251404007,1,$100000 - $124999
250251601012,1,<$30000
250251601014,2,<$30000
250251603001,1,<$30000
250251605021,1,$60000 - $99999
250251605022,1,<$30000
250251606012,2,$60000 - $99999
250251701001,1,<$30000
250251701002,1,$60000 - $99999
250251701006,2,$60000 - $99999
250251701007,1,<$30000
250251702002,1,<$30000
250251702004,1,<$30000
250251703001,1,$60000 - $99999
250251703002,2,$45000 - $59999
250251703004,1,$60000 - $99999
250251703005,1,$60000 - $99999
250251704001,1,<$30000
250251704004,1,<$30000
250251705011,1,<$30000
250251706011,1,$60000 - $99999
250251706012,2,$60000 - $99999
250251707022,1,<$30000
250251708001,1,$60000 - $99999
250251708002,1,<$30000
250251708003,1,$30000 - $44999
250251801011,1,$45000 - $59999
250251801013,2,<$30000
250251802002,1,<$30000
250251803011,1,$60000 - $99999
250251805001,1,$60000 - $99999
250259807001,1,$60000 - $99999
250259813002,2,$60000 - $99999
